Epoch: 0, Reward: -1, Policy loss: 0.6155505180358887, Critic Loss: 41752.55078125
Epoch: 1, Reward: -1, Policy loss: 0.43675515055656433, Critic Loss: 28512.83203125
Epoch: 2, Reward: -100, Policy loss: 0.30284661054611206, Critic Loss: 28426.736328125
Epoch: 3, Reward: -1, Policy loss: 0.14746327698230743, Critic Loss: 28008.044921875
Epoch: 4, Reward: -1, Policy loss: 0.04355041682720184, Critic Loss: 28286.880859375
Epoch: 5, Reward: -1, Policy loss: -0.02592504769563675, Critic Loss: 33198.359375
Epoch: 6, Reward: -1, Policy loss: -0.09617051482200623, Critic Loss: 29160.669921875
Epoch: 7, Reward: -1, Policy loss: -0.10854652523994446, Critic Loss: 25370.6640625
Epoch: 8, Reward: -1, Policy loss: -0.13657096028327942, Critic Loss: 29404.77734375
Epoch: 9, Reward: -1, Policy loss: -0.1453375667333603, Critic Loss: 32649.48828125
Epoch: 10, Reward: -1, Policy loss: -0.13818717002868652, Critic Loss: 21254.94921875
Epoch: 11, Reward: -1, Policy loss: -0.15275730192661285, Critic Loss: 23414.509765625
Epoch: 12, Reward: -1, Policy loss: -0.1425306499004364, Critic Loss: 22347.47265625
Epoch: 13, Reward: -1, Policy loss: -0.158294215798378, Critic Loss: 21552.765625
Epoch: 14, Reward: -100, Policy loss: -0.1459428369998932, Critic Loss: 31593.46875
Epoch: 15, Reward: -1, Policy loss: -0.14604058861732483, Critic Loss: 36791.375
Epoch: 16, Reward: -1, Policy loss: -0.13726875185966492, Critic Loss: 24015.333984375
Epoch: 17, Reward: -1, Policy loss: -0.15447868406772614, Critic Loss: 31561.873046875
Epoch: 18, Reward: -1, Policy loss: -0.1515253484249115, Critic Loss: 26620.849609375
Epoch: 19, Reward: -1, Policy loss: -0.14701354503631592, Critic Loss: 27226.15625
Epoch: 20, Reward: -1, Policy loss: -0.15763522684574127, Critic Loss: 20414.353515625
Epoch: 21, Reward: -1, Policy loss: -0.16628091037273407, Critic Loss: 30277.828125
Epoch: 22, Reward: -1, Policy loss: -0.16453823447227478, Critic Loss: 35397.25390625
Epoch: 23, Reward: -1, Policy loss: -0.1620798408985138, Critic Loss: 23328.681640625
Epoch: 24, Reward: -1, Policy loss: -0.16587136685848236, Critic Loss: 30540.62109375
Epoch: 25, Reward: -1, Policy loss: -0.15702447295188904, Critic Loss: 28436.96484375
Epoch: 26, Reward: -1, Policy loss: -0.1636171191930771, Critic Loss: 30296.419921875
Epoch: 27, Reward: -1, Policy loss: -0.16543471813201904, Critic Loss: 27810.943359375
Epoch: 28, Reward: -1, Policy loss: -0.17564982175827026, Critic Loss: 25932.234375
Epoch: 29, Reward: -1, Policy loss: -0.16511045396327972, Critic Loss: 29031.318359375
Epoch: 30, Reward: -1, Policy loss: -0.17474286258220673, Critic Loss: 22834.287109375
